Dataset,Epsilon,Augmentation,Metric,SampleAgg,BatchAgg,val
CIFAR10,2,L2 Noise eps:2,De-adversarial,Min,Mean,0.0
CIFAR10,2,L2 Noise eps:2,De-adversarial,Min,Max,0.0
CIFAR10,2,L2 Noise eps:2,De-adversarial,Min,Min,0.0
CIFAR10,5,L2 Noise eps:5,Correct,Mean,Mean,0.0
CIFAR10,5,L2 Noise eps:5,Correct,Mean,Max,0.0
CIFAR10,5,L2 Noise eps:5,Correct,Mean,Min,0.0
CIFAR10,5,L2 Noise eps:5,Correct,Max,Mean,0.0
CIFAR10,5,L2 Noise eps:5,Correct,Max,Max,0.0
CIFAR10,5,L2 Noise eps:5,Correct,Max,Min,0.0
CIFAR10,5,L2 Noise eps:5,Correct,Min,Mean,0.0
CIFAR10,5,L2 Noise eps:5,Correct,Min,Max,0.0
CIFAR10,5,L2 Noise eps:5,Correct,Min,Min,0.0
CIFAR10,5,L2 Noise eps:5,Robust,Mean,Mean,0.0
CIFAR10,5,L2 Noise eps:5,Robust,Mean,Max,0.0
CIFAR10,5,L2 Noise eps:5,Robust,Mean,Min,0.0
CIFAR10,5,L2 Noise eps:5,Robust,Max,Mean,0.0
CIFAR10,5,L2 Noise eps:5,Robust,Max,Max,0.0
CIFAR10,5,L2 Noise eps:5,Robust,Max,Min,0.0
CIFAR10,5,L2 Noise eps:5,Robust,Min,Mean,0.0
CIFAR10,5,L2 Noise eps:5,Robust,Min,Max,0.0
CIFAR10,5,L2 Noise eps:5,Robust,Min,Min,0.0
CIFAR10,5,L2 Noise eps:5,De-adversarial,Mean,Mean,0.0
CIFAR10,5,L2 Noise eps:5,De-adversarial,Mean,Max,0.0
CIFAR10,5,L2 Noise eps:5,De-adversarial,Mean,Min,0.0
CIFAR10,5,L2 Noise eps:5,De-adversarial,Max,Mean,0.0
CIFAR10,5,L2 Noise eps:5,De-adversarial,Max,Max,0.0
CIFAR10,5,L2 Noise eps:5,De-adversarial,Max,Min,0.0
CIFAR10,5,L2 Noise eps:5,De-adversarial,Min,Mean,0.0
CIFAR10,5,L2 Noise eps:5,De-adversarial,Min,Max,0.0
CIFAR10,5,L2 Noise eps:5,De-adversarial,Min,Min,0.0
CalTech101,2,L2 Noise eps:2,Correct,Mean,Mean,0.04347
CalTech101,2,L2 Noise eps:2,Correct,Mean,Max,0.04347
CalTech101,2,L2 Noise eps:2,Correct,Mean,Min,0.04347
CalTech101,2,L2 Noise eps:2,Robust,Mean,Mean,0.04347
CalTech101,2,L2 Noise eps:2,Robust,Mean,Max,0.04347
CalTech101,2,L2 Noise eps:2,Robust,Mean,Min,0.04347
CalTech101,2,L2 Noise eps:2,De-adversarial,Mean,Mean,0.04347
CalTech101,2,L2 Noise eps:2,De-adversarial,Mean,Max,0.04347
CalTech101,2,L2 Noise eps:2,De-adversarial,Mean,Min,0.04347
CalTech101,2,L2 Noise eps:2,Correct,Max,Mean,1.0
CalTech101,2,L2 Noise eps:2,Correct,Max,Max,1.0
CalTech101,2,L2 Noise eps:2,Correct,Max,Min,1.0
CalTech101,2,L2 Noise eps:2,Robust,Max,Mean,1.0
CalTech101,2,L2 Noise eps:2,Robust,Max,Max,1.0
CalTech101,2,L2 Noise eps:2,Robust,Max,Min,1.0
CalTech101,2,L2 Noise eps:2,De-adversarial,Max,Mean,1.0
CalTech101,2,L2 Noise eps:2,De-adversarial,Max,Max,1.0
CalTech101,2,L2 Noise eps:2,De-adversarial,Max,Min,1.0
CalTech101,2,L2 Noise eps:2,Correct,Min,Mean,0.0
CalTech101,2,L2 Noise eps:2,Correct,Min,Max,0.0
CalTech101,2,L2 Noise eps:2,Correct,Min,Min,0.0
CalTech101,2,L2 Noise eps:2,Robust,Min,Mean,0.0
CalTech101,2,L2 Noise eps:2,Robust,Min,Max,0.0
CalTech101,2,L2 Noise eps:2,Robust,Min,Min,0.0
CalTech101,2,L2 Noise eps:2,De-adversarial,Min,Mean,0.0
CalTech101,2,L2 Noise eps:2,De-adversarial,Min,Max,0.0
CalTech101,2,L2 Noise eps:2,De-adversarial,Min,Min,0.0
CalTech101,5,L2 Noise eps:5,Correct,Mean,Mean,0.0
CalTech101,5,L2 Noise eps:5,Correct,Mean,Max,0.0
CalTech101,5,L2 Noise eps:5,Correct,Mean,Min,0.0
CalTech101,5,L2 Noise eps:5,Correct,Max,Mean,0.0
CalTech101,5,L2 Noise eps:5,Correct,Max,Max,0.0
CalTech101,5,L2 Noise eps:5,Correct,Max,Min,0.0
CalTech101,5,L2 Noise eps:5,Correct,Min,Mean,0.0
CalTech101,5,L2 Noise eps:5,Correct,Min,Max,0.0
CalTech101,5,L2 Noise eps:5,Correct,Min,Min,0.0
CalTech101,5,L2 Noise eps:5,De-adversarial,Mean,Mean,0.0
CalTech101,5,L2 Noise eps:5,De-adversarial,Mean,Max,0.0
CalTech101,5,L2 Noise eps:5,De-adversarial,Mean,Min,0.0
CalTech101,5,L2 Noise eps:5,De-adversarial,Max,Mean,0.0
CalTech101,5,L2 Noise eps:5,De-adversarial,Max,Max,0.0
CalTech101,5,L2 Noise eps:5,De-adversarial,Max,Min,0.0
CalTech101,5,L2 Noise eps:5,De-adversarial,Min,Mean,0.0
CalTech101,5,L2 Noise eps:5,De-adversarial,Min,Max,0.0
CalTech101,5,L2 Noise eps:5,De-adversarial,Min,Min,0.0
CalTech101,5,L2 Noise eps:5,Robust,Min,Mean,0.0
CalTech101,5,L2 Noise eps:5,Robust,Min,Max,0.0
CalTech101,5,L2 Noise eps:5,Robust,Min,Min,0.0
CalTech101,5,L2 Noise eps:5,Robust,Mean,Mean,0.00582
CalTech101,5,L2 Noise eps:5,Robust,Mean,Max,0.03448
CalTech101,5,L2 Noise eps:5,Robust,Mean,Min,0.0
CalTech101,5,L2 Noise eps:5,Robust,Max,Mean,0.17
CalTech101,5,L2 Noise eps:5,Robust,Max,Max,1.0
CalTech101,5,L2 Noise eps:5,Robust,Max,Min,0.0
CalTech101,2,Rotate,Correct,Mean,Mean,0.3176
CalTech101,2,Rotate,Correct,Mean,Max,0.8846
CalTech101,2,Rotate,Correct,Mean,Min,0.0
CalTech101,2,Rotate,Correct,Max,Mean,0.76
CalTech101,2,Rotate,Correct,Max,Mean,1.0
CalTech101,2,Rotate,Correct,Max,Mean,0.0
CalTech101,2,Rotate,Correct,Min,Mean,0.0
CalTech101,2,Rotate,Correct,Min,Mean,0.0
