Run,Model,Adversarial,Augmentation,Intensity,Metric,Confidence
0,U,False,Noise,0.01,0.8899999856948853,6.719936370849609
0,U,True,Noise,0.01,1.0,20.20758056640625
0,U,False,Noise,0.1,0.8899999856948853,6.719936370849609
0,U,True,Noise,0.1,1.0,19.535093307495117
0,U,False,Noise,0.5,0.8899999856948853,6.719936370849609
0,U,True,Noise,0.5,1.0,19.67177391052246
0,U,False,Noise,1.0,0.8899999856948853,6.719936370849609
0,U,True,Noise,1.0,1.0,19.98064613342285
0,U,False,Noise,2.0,0.85999995470047,6.719936370849609
0,U,True,Noise,2.0,0.9899999499320984,20.093000411987305
0,U,False,Noise,5.0,0.5699999928474426,6.719936370849609
0,U,True,Noise,5.0,0.7199999690055847,19.98495101928711
0,U,False,Noise,10.0,0.20999999344348907,6.719936370849609
0,U,True,Noise,10.0,0.25,19.60127067565918
0,U,False,Noise,15.0,0.1899999976158142,6.719936370849609
0,U,True,Noise,15.0,0.1599999964237213,20.004913330078125
0,U,False,Noise,20.0,0.11999999731779099,6.719936370849609
0,U,True,Noise,20.0,0.14999999105930328,20.039653778076172
0,U,False,Noise,25.0,0.07999999821186066,6.719936370849609
0,U,True,Noise,25.0,0.12999999523162842,20.002330780029297
0,U,False,Rotation,5.0,0.8700000047683716,6.719936370849609
0,U,True,Rotation,5.0,0.9899999499320984,19.963642120361328
0,U,False,Rotation,10.0,0.8799999952316284,6.719936370849609
0,U,True,Rotation,10.0,0.9599999785423279,19.62761688232422
0,U,False,Rotation,15.0,0.8399999737739563,6.719936370849609
0,U,True,Rotation,15.0,0.9199999570846558,19.798154830932617
0,U,False,Rotation,20.0,0.8499999642372131,6.719936370849609
0,U,True,Rotation,20.0,0.8999999761581421,20.199413299560547
0,U,False,Rotation,35.0,0.7999999523162842,6.719936370849609
0,U,True,Rotation,35.0,0.7599999904632568,20.197240829467773
0,U,False,Rotation,45.0,0.7099999785423279,6.719936370849609
0,U,True,Rotation,45.0,0.6699999570846558,20.11195182800293
0,U,False,Rotation,55.0,0.6200000047683716,6.719936370849609
0,U,True,Rotation,55.0,0.6699999570846558,19.988128662109375
0,U,False,Rotation,65.0,0.6499999761581421,6.719936370849609
0,U,True,Rotation,65.0,0.5699999928474426,20.217727661132812
0,U,False,Rotation,75.0,0.5600000023841858,6.719936370849609
0,U,True,Rotation,75.0,0.5600000023841858,20.16071128845215
0,U,False,Rotation,90.0,0.550000011920929,6.719936370849609
0,U,True,Rotation,90.0,0.5199999809265137,19.701290130615234
0,U,False,Translation,0.01,0.8899999856948853,6.719936370849609
0,U,True,Translation,0.01,1.0,19.905052185058594
0,U,False,Translation,0.05,0.8999999761581421,6.719936370849609
0,U,True,Translation,0.05,0.9300000071525574,20.02094268798828
0,U,False,Translation,0.1,0.8700000047683716,6.719936370849609
0,U,True,Translation,0.1,0.7199999690055847,20.156599044799805
0,U,False,Translation,0.15,0.8499999642372131,6.719936370849609
0,U,True,Translation,0.15,0.7299999594688416,19.578266143798828
0,U,False,Translation,0.2,0.8700000047683716,6.719936370849609
0,U,True,Translation,0.2,0.6800000071525574,19.856700897216797
0,U,False,Translation,0.25,0.8299999833106995,6.719936370849609
0,U,True,Translation,0.25,0.6399999856948853,19.823625564575195
0,U,False,Translation,0.3,0.7899999618530273,6.719936370849609
0,U,True,Translation,0.3,0.5600000023841858,20.161279678344727
0,U,False,Translation,0.35,0.7699999809265137,6.719936370849609
0,U,True,Translation,0.35,0.6200000047683716,20.081228256225586
0,U,False,Translation,0.4,0.7599999904632568,6.719936370849609
0,U,True,Translation,0.4,0.5600000023841858,20.265270233154297
0,U,False,Translation,0.45,0.6800000071525574,6.719936370849609
0,U,True,Translation,0.45,0.5,19.699975967407227
0,U,False,Translation,0.5,0.6399999856948853,6.719936370849609
0,U,True,Translation,0.5,0.5,20.080286026000977
0,A,False,Noise,0.01,0.7299999594688416,3.2787513732910156
0,A,True,Noise,0.01,1.0,9.887930870056152
0,A,False,Noise,0.1,0.7299999594688416,3.2787513732910156
0,A,True,Noise,0.1,1.0,9.917831420898438
0,A,False,Noise,0.5,0.7400000095367432,3.2787513732910156
0,A,True,Noise,0.5,1.0,9.925671577453613
0,A,False,Noise,1.0,0.7299999594688416,3.2787513732910156
0,A,True,Noise,1.0,1.0,9.847966194152832
0,A,False,Noise,2.0,0.7299999594688416,3.2787513732910156
0,A,True,Noise,2.0,1.0,9.885137557983398
0,A,False,Noise,5.0,0.6200000047683716,3.2787513732910156
0,A,True,Noise,5.0,0.9899999499320984,9.996419906616211
0,A,False,Noise,10.0,0.35999998450279236,3.2787513732910156
0,A,True,Noise,10.0,0.7099999785423279,9.94404125213623
0,A,False,Noise,15.0,0.3100000023841858,3.2787513732910156
0,A,True,Noise,15.0,0.5099999904632568,9.868660926818848
0,A,False,Noise,20.0,0.25999999046325684,3.2787513732910156
0,A,True,Noise,20.0,0.41999998688697815,9.920353889465332
0,A,False,Noise,25.0,0.23999999463558197,3.2787513732910156
0,A,True,Noise,25.0,0.32999998331069946,9.869860649108887
0,A,False,Rotation,5.0,0.7400000095367432,3.2787513732910156
0,A,True,Rotation,5.0,1.0,9.694799423217773
0,A,False,Rotation,10.0,0.75,3.2787513732910156
0,A,True,Rotation,10.0,0.9899999499320984,9.856755256652832
0,A,False,Rotation,15.0,0.7599999904632568,3.2787513732910156
0,A,True,Rotation,15.0,0.9899999499320984,9.752304077148438
0,A,False,Rotation,20.0,0.75,3.2787513732910156
0,A,True,Rotation,20.0,0.9899999499320984,9.811419486999512
0,A,False,Rotation,35.0,0.7799999713897705,3.2787513732910156
0,A,True,Rotation,35.0,0.9399999976158142,9.861180305480957
0,A,False,Rotation,45.0,0.7599999904632568,3.2787513732910156
0,A,True,Rotation,45.0,0.949999988079071,9.905967712402344
0,A,False,Rotation,55.0,0.7699999809265137,3.2787513732910156
0,A,True,Rotation,55.0,0.8899999856948853,9.790029525756836
0,A,False,Rotation,65.0,0.75,3.2787513732910156
0,A,True,Rotation,65.0,0.8999999761581421,10.059638023376465
0,A,False,Rotation,75.0,0.7400000095367432,3.2787513732910156
0,A,True,Rotation,75.0,0.8499999642372131,9.88869857788086
0,A,False,Rotation,90.0,0.7099999785423279,3.2787513732910156
0,A,True,Rotation,90.0,0.85999995470047,9.754451751708984
0,A,False,Translation,0.01,0.75,3.2787513732910156
0,A,True,Translation,0.01,1.0,10.041129112243652
0,A,False,Translation,0.05,0.7999999523162842,3.2787513732910156
0,A,True,Translation,0.05,1.0,9.930610656738281
0,A,False,Translation,0.1,0.8100000023841858,3.2787513732910156
0,A,True,Translation,0.1,0.9699999690055847,9.861865043640137
0,A,False,Translation,0.15,0.7899999618530273,3.2787513732910156
0,A,True,Translation,0.15,0.9099999666213989,9.78555965423584
0,A,False,Translation,0.2,0.8100000023841858,3.2787513732910156
0,A,True,Translation,0.2,0.9599999785423279,9.786360740661621
0,A,False,Translation,0.25,0.7599999904632568,3.2787513732910156
0,A,True,Translation,0.25,0.9199999570846558,9.817626953125
0,A,False,Translation,0.3,0.7999999523162842,3.2787513732910156
0,A,True,Translation,0.3,0.9199999570846558,9.840519905090332
0,A,False,Translation,0.35,0.7599999904632568,3.2787513732910156
0,A,True,Translation,0.35,0.9099999666213989,9.965097427368164
0,A,False,Translation,0.4,0.7899999618530273,3.2787513732910156
0,A,True,Translation,0.4,0.8700000047683716,9.914044380187988
0,A,False,Translation,0.45,0.7299999594688416,3.2787513732910156
0,A,True,Translation,0.45,0.8799999952316284,9.810168266296387
0,A,False,Translation,0.5,0.6899999976158142,3.2787513732910156
0,A,True,Translation,0.5,0.8799999952316284,9.813324928283691
1,U,False,Noise,0.01,0.8399999737739563,7.0057291984558105
1,U,True,Noise,0.01,1.0,20.016164779663086
1,U,False,Noise,0.1,0.8399999737739563,7.0057291984558105
1,U,True,Noise,0.1,1.0,20.007436752319336
1,U,False,Noise,0.5,0.8499999642372131,7.0057291984558105
1,U,True,Noise,0.5,1.0,19.799230575561523
1,U,False,Noise,1.0,0.8499999642372131,7.0057291984558105
1,U,True,Noise,1.0,1.0,20.27643394470215
1,U,False,Noise,2.0,0.85999995470047,7.0057291984558105
1,U,True,Noise,2.0,1.0,20.15401840209961
1,U,False,Noise,5.0,0.6100000143051147,7.0057291984558105
1,U,True,Noise,5.0,0.7099999785423279,19.823759078979492
1,U,False,Noise,10.0,0.22999998927116394,7.0057291984558105
1,U,True,Noise,10.0,0.20999999344348907,19.87978172302246
1,U,False,Noise,15.0,0.10999999940395355,7.0057291984558105
1,U,True,Noise,15.0,0.1599999964237213,19.762374877929688
1,U,False,Noise,20.0,0.12999999523162842,7.0057291984558105
1,U,True,Noise,20.0,0.1899999976158142,19.960704803466797
1,U,False,Noise,25.0,0.10999999940395355,7.0057291984558105
1,U,True,Noise,25.0,0.09999999403953552,19.89101219177246
1,U,False,Rotation,5.0,0.8199999928474426,7.0057291984558105
1,U,True,Rotation,5.0,0.9899999499320984,20.07196807861328
1,U,False,Rotation,10.0,0.8700000047683716,7.0057291984558105
1,U,True,Rotation,10.0,0.9799999594688416,19.761259078979492
1,U,False,Rotation,15.0,0.8199999928474426,7.0057291984558105
1,U,True,Rotation,15.0,0.9099999666213989,19.941146850585938
1,U,False,Rotation,20.0,0.7699999809265137,7.0057291984558105
1,U,True,Rotation,20.0,0.9099999666213989,20.10688018798828
1,U,False,Rotation,35.0,0.7199999690055847,7.0057291984558105
1,U,True,Rotation,35.0,0.6899999976158142,20.27003288269043
1,U,False,Rotation,45.0,0.6399999856948853,7.0057291984558105
1,U,True,Rotation,45.0,0.6100000143051147,20.003902435302734
1,U,False,Rotation,55.0,0.6499999761581421,7.0057291984558105
1,U,True,Rotation,55.0,0.5799999833106995,19.859783172607422
1,U,False,Rotation,65.0,0.6599999666213989,7.0057291984558105
1,U,True,Rotation,65.0,0.5,19.93602180480957
1,U,False,Rotation,75.0,0.5899999737739563,7.0057291984558105
1,U,True,Rotation,75.0,0.429999977350235,20.20050621032715
1,U,False,Rotation,90.0,0.5699999928474426,7.0057291984558105
1,U,True,Rotation,90.0,0.429999977350235,20.107769012451172
1,U,False,Translation,0.01,0.8399999737739563,7.0057291984558105
1,U,True,Translation,0.01,1.0,20.2477970123291
1,U,False,Translation,0.05,0.8399999737739563,7.0057291984558105
1,U,True,Translation,0.05,0.9099999666213989,19.623003005981445
1,U,False,Translation,0.1,0.8499999642372131,7.0057291984558105
1,U,True,Translation,0.1,0.7799999713897705,19.947534561157227
1,U,False,Translation,0.15,0.8799999952316284,7.0057291984558105
1,U,True,Translation,0.15,0.7299999594688416,20.097293853759766
1,U,False,Translation,0.2,0.85999995470047,7.0057291984558105
1,U,True,Translation,0.2,0.6599999666213989,20.141380310058594
1,U,False,Translation,0.25,0.8399999737739563,7.0057291984558105
1,U,True,Translation,0.25,0.5999999642372131,19.920757293701172
1,U,False,Translation,0.3,0.8199999928474426,7.0057291984558105
1,U,True,Translation,0.3,0.6399999856948853,20.1209716796875
1,U,False,Translation,0.35,0.7899999618530273,7.0057291984558105
1,U,True,Translation,0.35,0.5299999713897705,19.78359603881836
1,U,False,Translation,0.4,0.7299999594688416,7.0057291984558105
1,U,True,Translation,0.4,0.5199999809265137,20.123411178588867
1,U,False,Translation,0.45,0.7400000095367432,7.0057291984558105
1,U,True,Translation,0.45,0.5099999904632568,20.176156997680664
1,U,False,Translation,0.5,0.6699999570846558,7.0057291984558105
1,U,True,Translation,0.5,0.5,19.63680076599121
1,A,False,Noise,0.01,0.75,3.1627185344696045
1,A,True,Noise,0.01,1.0,9.72165298461914
1,A,False,Noise,0.1,0.75,3.1627185344696045
1,A,True,Noise,0.1,1.0,9.73069953918457
1,A,False,Noise,0.5,0.75,3.1627185344696045
1,A,True,Noise,0.5,0.9899999499320984,9.591785430908203
1,A,False,Noise,1.0,0.75,3.1627185344696045
1,A,True,Noise,1.0,1.0,9.684504508972168
1,A,False,Noise,2.0,0.75,3.1627185344696045
1,A,True,Noise,2.0,1.0,9.78433609008789
1,A,False,Noise,5.0,0.6299999952316284,3.1627185344696045
1,A,True,Noise,5.0,0.9599999785423279,9.907072067260742
1,A,False,Noise,10.0,0.3400000035762787,3.1627185344696045
1,A,True,Noise,10.0,0.7099999785423279,9.926626205444336
1,A,False,Noise,15.0,0.28999999165534973,3.1627185344696045
1,A,True,Noise,15.0,0.5,9.799376487731934
1,A,False,Noise,20.0,0.26999998092651367,3.1627185344696045
1,A,True,Noise,20.0,0.3499999940395355,9.789298057556152
1,A,False,Noise,25.0,0.28999999165534973,3.1627185344696045
1,A,True,Noise,25.0,0.3199999928474426,9.88967227935791
1,A,False,Rotation,5.0,0.7699999809265137,3.1627185344696045
1,A,True,Rotation,5.0,0.9899999499320984,9.553537368774414
