Run,Model,Attack Intensity,Accuracy,Confidence
0,UU,0.0,0.9199999570846558,7.37251615524292
0,UU,0.1,0.0,23.69754409790039
0,UU,0.25,0.0,21.89495086669922
0,UU,0.5,0.0,22.876230239868164
0,UU,1.0,0.0,19.158512115478516
0,UU,2.0,0.0,15.541929244995117
0,UU,4.0,0.0,12.557734489440918
0,UU,8.0,0.0,12.260058403015137
0,UA,0.0,0.7400000095367432,2.8450212478637695
0,UA,0.1,0.1599999964237213,2.6603691577911377
0,UA,0.25,0.12999999523162842,3.281731128692627
0,UA,0.5,0.08999999612569809,1.7512508630752563
0,UA,1.0,0.12999999523162842,1.1093436479568481
0,UA,2.0,0.10999999940395355,1.2928062677383423
0,UA,4.0,0.09999999403953552,1.4765336513519287
0,UA,8.0,0.11999999731779099,1.3457472324371338
0,UN,0.0,0.7099999785423279,4.469512462615967
0,UN,0.1,0.0,16.91238784790039
0,UN,0.25,0.0,18.47662353515625
0,UN,0.5,0.0,20.78715705871582
0,UN,1.0,0.0,17.546566009521484
0,UN,2.0,0.0,14.427374839782715
0,UN,4.0,0.0,12.873043060302734
0,UN,8.0,0.0,11.851019859313965
0,AU,0.0,0.8199999928474426,3.437917947769165
0,AU,0.1,0.0,15.610125541687012
0,AU,0.25,0.0,16.286945343017578
0,AU,0.5,0.0,13.17391300201416
0,AU,1.0,0.0,9.613526344299316
0,AU,2.0,0.0,7.54351282119751
0,AU,4.0,0.0,6.263113975524902
0,AU,8.0,0.0,6.122992038726807
0,AA,0.0,0.8199999928474426,2.259249687194824
0,AA,0.1,0.03999999910593033,3.538644313812256
0,AA,0.25,0.03999999910593033,3.454055070877075
0,AA,0.5,0.019999999552965164,1.9307883977890015
0,AA,1.0,0.029999999329447746,1.3014613389968872
0,AA,2.0,0.03999999910593033,0.8326640129089355
0,AA,4.0,0.0,0.662932276725769
0,AA,8.0,0.009999999776482582,0.6052991151809692
0,AN,0.0,0.7400000095367432,2.840690851211548
0,AN,0.1,0.0,13.551637649536133
0,AN,0.25,0.0,14.733308792114258
0,AN,0.5,0.0,12.447667121887207
0,AN,1.0,0.0,9.479852676391602
0,AN,2.0,0.0,6.324427127838135
0,AN,4.0,0.0,6.128428936004639
0,AN,8.0,0.0,5.1981072425842285
1,UU,0.0,0.8499999642372131,6.494467735290527
1,UU,0.1,0.0,24.357135772705078
1,UU,0.25,0.0,22.318571090698242
1,UU,0.5,0.0,22.746610641479492
1,UU,1.0,0.0,19.769670486450195
1,UU,2.0,0.0,15.17935848236084
1,UU,4.0,0.0,13.793135643005371
1,UU,8.0,0.0,12.710275650024414
1,UA,0.0,0.6299999952316284,2.7835710048675537
1,UA,0.1,0.11999999731779099,2.6759700775146484
1,UA,0.25,0.10999999940395355,3.3463354110717773
1,UA,0.5,0.09999999403953552,1.2818139791488647
1,UA,1.0,0.08999999612569809,1.02304208278656
1,UA,2.0,0.08999999612569809,1.499214768409729
1,UA,4.0,0.07000000029802322,1.3485262393951416
1,UA,8.0,0.08999999612569809,1.2635606527328491
1,UN,0.0,0.5,3.8517091274261475
1,UN,0.1,0.0,17.07806968688965
1,UN,0.25,0.0,19.150558471679688
1,UN,0.5,0.0,20.89666748046875
1,UN,1.0,0.0,18.086116790771484
1,UN,2.0,0.0,14.811440467834473
1,UN,4.0,0.0,12.442366600036621
1,UN,8.0,0.0,12.02644157409668
1,AU,0.0,0.7299999594688416,3.2663192749023438
1,AU,0.1,0.0,15.85207462310791
1,AU,0.25,0.0,16.062458038330078
1,AU,0.5,0.0,13.68812084197998
1,AU,1.0,0.0,9.79197883605957
1,AU,2.0,0.0,7.368894100189209
1,AU,4.0,0.0,5.948375225067139
