,Model,Attack Intensity,Accuracy,Confidence
13,UA,2.0,"tensor(0.5312, device='cuda:0')","tensor([1.9567, 3.1323, 1.9399, 1.0697, 0.1454, 4.4467, 1.5120, 2.3925, 3.1754,
        0.6365, 5.1919, 1.0166, 1.9714, 2.4106, 1.2184, 0.6092, 1.9470, 1.3889,
        1.4269, 4.2213, 1.2526, 3.9108, 3.8212, 1.0522, 1.1337, 5.8161, 0.6547,
        0.5066, 0.8223, 8.9549, 1.5547, 1.6027], device='cuda:0')"
14,UA,4.0,"tensor(0.5312, device='cuda:0')","tensor([0.2047, 0.3725, 4.1468, 0.1325, 1.3224, 1.5034, 4.8258, 2.4927, 1.2075,
        2.6024, 2.0705, 1.4726, 3.3356, 0.2203, 0.1138, 0.7316, 0.1351, 3.6227,
        4.4357, 0.3721, 1.1788, 0.1738, 1.5177, 4.1859, 1.1478, 1.3288, 3.1032,
        1.4738, 0.5743, 1.6334, 1.7140, 3.3231], device='cuda:0')"
15,UA,8.0,"tensor(0.2812, device='cuda:0')","tensor([2.4394, 1.3616, 1.9985, 2.1500, 1.5840, 1.1988, 0.2229, 3.1785, 2.9980,
        4.0688, 4.3835, 0.3525, 1.4156, 0.7373, 2.0423, 0.9431, 3.6486, 3.2474,
        0.1918, 4.0100, 0.9152, 4.7083, 2.3211, 1.7321, 2.3601, 1.1308, 5.2204,
        0.1909, 0.2497, 4.4441, 0.7930, 1.9002], device='cuda:0')"
16,UNAU,0.0,"tensor(0.5625, device='cuda:0')","tensor([4.5006, 0.1289, 0.2664, 5.0821, 0.6311, 2.7626, 5.0014, 0.2086, 1.7020,
        1.9204, 2.3677, 0.7608, 0.9568, 2.1806, 1.3779, 1.3187, 1.3236, 0.8493,
        1.7009, 1.6322, 3.2128, 1.1758, 2.0226, 0.2496, 7.1260, 3.3675, 0.3804,
        0.8421, 3.2926, 1.6472, 1.0746, 1.9024], device='cuda:0')"
17,UNAU,0.1,"tensor(0.5000, device='cuda:0')","tensor([0.3922, 1.3656, 1.0284, 0.1547, 1.3373, 5.3550, 0.1763, 2.4207, 0.3903,
        1.4455, 3.4152, 0.4332, 1.6686, 0.9993, 5.7589, 0.5093, 4.1707, 1.5706,
        0.2228, 2.1475, 0.3295, 2.1693, 3.2858, 1.6237, 0.5071, 1.2939, 3.7984,
        2.6673, 0.2428, 1.3797, 2.2294, 3.2581], device='cuda:0')"
18,UNAU,0.25,"tensor(0.4062, device='cuda:0')","tensor([3.9742, 1.0586, 1.7173, 2.9260, 3.5066, 1.5411, 3.5898, 3.7500, 0.5648,
        1.6794, 1.7506, 3.0162, 1.9148, 0.9481, 4.3827, 0.3424, 1.7349, 3.8073,
        1.3487, 1.1180, 5.3420, 0.6434, 2.3936, 4.9907, 3.4670, 0.6456, 2.8441,
        0.2814, 0.0226, 3.8731, 0.8080, 0.6253], device='cuda:0')"
19,UNAU,0.5,"tensor(0.0938, device='cuda:0')","tensor([3.5094, 0.4442, 1.3721, 3.9802, 2.9686, 0.4869, 2.8274, 3.5371, 2.8222,
        0.7330, 1.4435, 3.4388, 3.5523, 3.2359, 4.5353, 0.0136, 0.3764, 3.1458,
        1.1443, 0.9065, 2.4711, 5.6227, 4.3646, 3.9609, 1.0727, 2.4127, 0.9951,
        3.8369, 0.3764, 3.6162, 5.4877, 2.4740], device='cuda:0')"
20,UNAU,1.0,"tensor(0.0312, device='cuda:0')","tensor([0.7378, 8.5574, 4.5631, 9.6448, 2.3436, 2.0261, 2.2324, 7.5850, 1.2039,
        5.9950, 3.5234, 0.7996, 2.8349, 7.2482, 4.6945, 1.0549, 2.0855, 5.2905,
        2.1650, 0.8299, 6.5953, 5.4831, 1.5899, 6.2824, 0.5112, 6.1923, 7.1940,
        4.8025, 4.8532, 3.0615, 3.1282, 4.1757], device='cuda:0')"
21,UNAU,2.0,"tensor(0., device='cuda:0')","tensor([ 6.7015,  8.9915,  4.7379, 12.0514,  7.4936,  5.6502,  7.8260,  5.7767,
         4.3636,  5.6488,  9.9766,  9.9928,  7.9750,  7.9111,  9.5909,  3.8202,
         0.3344, 14.3123,  4.8057,  5.7626,  8.0360,  5.0905,  0.1469,  7.2097,
         3.5968,  5.6210,  8.3553,  1.0320,  4.7548, 10.5154,  3.8079,  1.5789],
       device='cuda:0')"
22,UNAU,4.0,"tensor(0., device='cuda:0')","tensor([ 8.0804,  4.2289,  8.7375,  7.1693,  0.5068,  7.6820,  3.4945, 11.7885,
         6.3453, 14.4967,  1.4318,  4.9411,  6.5718,  3.1746,  9.3189,  2.4904,
         0.1310,  8.9561,  2.0964,  3.5501,  5.8152,  6.4037,  7.6981,  5.3406,
         1.5437,  9.7943,  6.4117,  5.9867,  4.9974,  4.7250, 10.0692,  9.2561],
       device='cuda:0')"
23,UNAU,8.0,"tensor(0., device='cuda:0')","tensor([ 2.6942, 10.5777,  8.0923, 10.9099,  9.3737,  8.2157,  7.4472,  9.9478,
         3.8708,  2.1048,  7.2050,  7.8421,  6.1390,  5.7892,  5.3886,  8.1966,
         8.9774,  4.0609,  5.1996,  3.3992,  9.0072, 10.0208,  6.6448, 12.4225,
         3.3119,  6.2146,  7.3033,  5.3568,  3.8806,  6.6506,  7.8819,  7.1646],
       device='cuda:0')"
24,AA,0.0,"tensor(0.7500, device='cuda:0')","tensor([2.2460, 0.1625, 2.7090, 0.9235, 2.4181, 3.3926, 5.1891, 1.7225, 4.2799,
        0.0829, 2.4030, 0.5628, 1.2780, 6.8748, 0.0504, 0.7944, 2.9552, 0.0932,
        1.3928, 1.8950, 0.4748, 4.3871, 3.9959, 1.4646, 0.3774, 1.9814, 3.9610,
        2.0384, 0.8747, 3.8542, 3.5594, 3.2044], device='cuda:0')"
25,AA,0.1,"tensor(0.5938, device='cuda:0')","tensor([0.2640, 1.0723, 0.5290, 3.4435, 1.0097, 0.1742, 2.5341, 0.1312, 0.5798,
        1.0031, 0.6018, 0.3778, 1.8004, 1.6251, 1.8538, 0.9683, 0.6179, 2.2081,
        0.1538, 1.4631, 0.8299, 2.9793, 0.7818, 3.0808, 1.1810, 1.1736, 3.1805,
        0.3552, 3.2359, 0.1738, 4.1614, 0.1986], device='cuda:0')"
26,AA,0.25,"tensor(0.6562, device='cuda:0')","tensor([1.1551, 3.7452, 5.6130, 0.3765, 0.6864, 7.9121, 0.0342, 2.3789, 2.5852,
        2.3859, 0.1443, 3.0012, 1.4027, 0.4029, 0.0381, 1.3250, 1.9854, 0.3985,
        0.7942, 0.5150, 3.0598, 1.8303, 1.4278, 5.1229, 2.1153, 0.5854, 3.4355,
        2.6248, 0.3634, 3.7612, 3.1985, 4.7543], device='cuda:0')"
27,AA,0.5,"tensor(0.5312, device='cuda:0')","tensor([2.3897e+00, 1.2495e+00, 3.2607e+00, 2.9837e-01, 2.2205e+00, 3.2623e-03,
        3.8983e+00, 9.3210e-01, 1.8135e+00, 3.0870e+00, 1.8223e+00, 1.3760e+00,
        1.2071e+00, 1.6105e+00, 2.5225e+00, 2.0002e+00, 3.8655e+00, 6.3016e-01,
        2.7627e-01, 8.0069e-01, 2.9592e+00, 1.2278e-01, 1.4277e+00, 1.3188e+00,
        1.0856e-02, 1.1919e+00, 7.0061e-01, 3.8268e+00, 1.9361e+00, 2.6410e+00,
        3.2145e+00, 1.5049e+00], device='cuda:0')"
28,AA,1.0,"tensor(0.2188, device='cuda:0')","tensor([1.5876, 1.6649, 3.7503, 0.9268, 3.0142, 1.5322, 0.1352, 0.5682, 1.5399,
        1.5373, 1.8473, 3.7656, 2.1729, 2.8018, 1.3206, 2.5619, 1.5470, 1.7943,
        0.7262, 0.8162, 1.1632, 3.2490, 0.5910, 0.8751, 0.5003, 3.6486, 1.2105,
        0.5649, 5.1386, 2.2590, 3.0708, 1.0543], device='cuda:0')"
29,AA,2.0,"tensor(0.1875, device='cuda:0')","tensor([2.0992e+00, 1.3436e+00, 2.7625e+00, 1.4639e+00, 4.4121e+00, 7.6600e-01,
        2.9131e+00, 5.5872e+00, 1.5059e+00, 1.8881e+00, 1.3463e+00, 1.3060e+00,
        6.2724e-01, 1.1892e-01, 2.2354e+00, 4.3378e+00, 1.8159e+00, 2.3398e+00,
        3.4563e+00, 9.4370e-01, 8.3002e-02, 1.9340e-01, 3.0496e-02, 3.0582e+00,
        1.7321e+00, 2.7862e-03, 6.3565e-01, 1.1872e+00, 4.0644e+00, 3.9351e-01,
        2.6660e+00, 3.1342e+00], device='cuda:0')"
